"possession","period","tiempo","resultado","team.name","n","x_inicio","y_inicio","y_fin","n_eventos","n_pases","n_pasesC","n_traslados","n_driblesE","prom_av_p","prom_av_t","n_jugadores","n_centros","n_cdf","n_pases_arearival","n_ingresos_arearival","inicia_golero","reinicio_juego","zona_inicio","nzonas","vel_media_p","vel_media_c","vert_tot","horiz_tot","dist.promP","dist.promC","dist.medP","dist.medC","n_eq","mundial","prop_tiempo","tiempo_aj_pos","exito","grupo","exito_num","dataset"
45,1,10.843,"empate","Australia",4,68.9,0,7.29999999999999,2,2,1,0,0,22.65,0,2,0,0,0,0,0,1,16,3,6.015,0,25.2999999999999,7.29999999999999,42.275188,0,42.275188,0,4,"M",0.00905242945399902,0.0707780738002865,"0","Grupo B",1,"train"
192,2,24.8450000000002,"ganando","Australia",4,9.9,38.2999999999999,20.7999999999999,4,1,0,1,0,66.9,6,2,0,0,0,0,1,0,3,2,14.47,0.25,67.7999999999999,-17.5,70.362274,6.00333240792145,70.362274,6.00333240792145,4,"M",0.0207421940223745,0.162176634102012,"0","Grupo A",1,"train"
74,1,2.41100000000005,"perdiendo","Morocco",6,67.9,79.9,70.0999999999999,5,1,1,1,0,18.9,0,3,0,0,0,0,0,1,20,2,16.7199999999999,0,17.8999999999999,-9.80000000000001,20.484629,0,20.484629,0,5,"F",0.00311604589156272,0.00940899907951732,"0","Grupo B",1,"train"
142,1,2.07900000000017,"ganando","Netherlands",4,90.8,25.1,41.8999999999999,4,1,1,0,0,2.8,0,3,0,0,0,0,0,0,22,2,2.47,0,-86.8999999999999,16.7999999999999,5.905929,0,5.905929,0,3,"M",0.00097758237624469,0.0196632922229864,"1","Grupo B",0,"train"
65,1,62.9450000000001,"perdiendo","Australia",64,44.9,57.7999999999999,64.7999999999999,5,22,21,19,0,2.24,0.32,8,0,0,0,0,0,0,14,10,6.95954545454545,0.406842105263158,2.7,7,17.5170924318181,3.46246215182271,15.653887,2.05182845286832,63,"M",0.0434157343670249,0.403478497560223,"0","Grupo A",1,"train"
100,2,8.21500000000014,"perdiendo","England",15,33.7,27.1,10.5999999999999,8,3,3,3,1,11.47,0.87,6,0,0,0,0,0,0,7,3,7.38,3.21333333333333,37,-16.5,14.0884495333333,3.63993371315234,14.128341,5.05667875190821,11,"F",0.00629944566411814,0.0579326346889298,"1","Grupo A",0,"train"
92,2,13.3160000000002,"empate","Ghana",18,6,44,60.6,3,7,6,4,0,2.21,0.45,5,0,0,0,0,1,1,3,5,5.61142857142857,0.5425,14.8999999999999,16.6,15.446501,2.40971311593187,14.46271,2.54676259639103,18,"M",0.0102209289562542,0.0857685884161499,"0","Grupo A",1,"train"
136,2,10.2620000000006,"perdiendo","Morocco",7,58.2,9.9,10.7999999999999,5,2,2,1,0,9.85,17.3,4,0,0,0,0,0,1,11,4,4.38,8.58,58.3999999999999,0.899999999999991,13.13616585,17.7341478509681,13.13616585,17.7341478509681,6,"M",0.00481960530147219,0.105225112494274,"0","Grupo B",1,"train"
28,1,17.8379999999999,"empate","Italy",17,77,50.2999999999999,7.5,5,5,4,5,0,4.56,-1.82,6,0,0,0,0,0,0,19,6,4.78,1.104,13.0999999999999,-42.7999999999999,17.188122,6.07552731894719,16.046183,4.6065171225124,16,"F",0.0104178408005817,0.164164441165799,"1","Grupo B",0,"train"
65,1,0.729000000000269,"perdiendo","Costa Rica",4,33.4,47.6,25.8999999999999,4,1,1,1,0,4.5,0.2,2,0,0,0,0,0,0,8,2,7.26,0.94,4.7,-21.7,21.868013,0.360555127546404,21.868013,0.360555127546404,4,"M",0.000670182135095729,0.00371904801970597,"0","Grupo A",1,"train"
